name,dir,file1,file2,result,timeout,conflict,tree_difference,interp_error,f1_diff_after_polymer,f2_diff_after_polymer,f1_diff_after_mliropt,f2_diff_after_mliropt,time_interp_file1,time_interp_file2,time_equivalence,num_stmts_file1,num_stmts_file2,num_tasks_file1,num_tasks_file2,command
gemm,converted-benches-no-flags,converted-benches-no-flags/converted-benches-no-flags/translated/gemm-8-translated-noasyncepilogue.c,converted-benches-no-flags/converted-benches-no-flags/translated/gemm-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,0.417257,0.400556,0.013948,140062,140062,3,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees converted-benches-no-flags/converted-benches-no-flags/translated/gemm-8-translated-noasyncepilogue.c converted-benches-no-flags/converted-benches-no-flags/translated/gemm-8-translated-noasyncepilogue.c ""A,B,C"""
seidel-2d,converted-benches-no-flags,converted-benches-no-flags/converted-benches-no-flags/translated/seidel-2d-8-translated-noasyncepilogue.c,converted-benches-no-flags/converted-benches-no-flags/translated/seidel-2d-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,2.572793,2.608132,0.075731,956188,956188,3,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees converted-benches-no-flags/converted-benches-no-flags/translated/seidel-2d-8-translated-noasyncepilogue.c converted-benches-no-flags/converted-benches-no-flags/translated/seidel-2d-8-translated-noasyncepilogue.c ""A"""
trmm,converted-benches-no-flags,converted-benches-no-flags/converted-benches-no-flags/translated/trmm-8-translated-noasyncepilogue.c,converted-benches-no-flags/converted-benches-no-flags/translated/trmm-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,0.139532,0.149632,0.003904,50512,50512,3,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees converted-benches-no-flags/converted-benches-no-flags/translated/trmm-8-translated-noasyncepilogue.c converted-benches-no-flags/converted-benches-no-flags/translated/trmm-8-translated-noasyncepilogue.c ""A,B"""
trisolv,converted-benches-no-flags,converted-benches-no-flags/converted-benches-no-flags/translated/trisolv-8-translated-noasyncepilogue.c,converted-benches-no-flags/converted-benches-no-flags/translated/trisolv-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,0.017267,0.017510,0.001067,6668,6668,3,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees converted-benches-no-flags/converted-benches-no-flags/translated/trisolv-8-translated-noasyncepilogue.c converted-benches-no-flags/converted-benches-no-flags/translated/trisolv-8-translated-noasyncepilogue.c ""L,x,b"""
bicg,converted-benches-no-flags,converted-benches-no-flags/converted-benches-no-flags/translated/bicg-8-translated-noasyncepilogue.c,converted-benches-no-flags/converted-benches-no-flags/translated/bicg-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,0.056844,0.058541,0.002580,22709,22709,3,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees converted-benches-no-flags/converted-benches-no-flags/translated/bicg-8-translated-noasyncepilogue.c converted-benches-no-flags/converted-benches-no-flags/translated/bicg-8-translated-noasyncepilogue.c ""A,s,q,p,r"""
jacobi-2d,converted-benches-no-flags,converted-benches-no-flags/converted-benches-no-flags/translated/jacobi-2d-8-translated-noasyncepilogue.c,converted-benches-no-flags/converted-benches-no-flags/translated/jacobi-2d-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,1.470535,1.443525,0.047508,537751,537751,3,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees converted-benches-no-flags/converted-benches-no-flags/translated/jacobi-2d-8-translated-noasyncepilogue.c converted-benches-no-flags/converted-benches-no-flags/translated/jacobi-2d-8-translated-noasyncepilogue.c ""A,B"""
heat-3d,converted-benches-no-flags,converted-benches-no-flags/converted-benches-no-flags/translated/heat-3d-8-translated-noasyncepilogue.c,converted-benches-no-flags/converted-benches-no-flags/translated/heat-3d-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,1.883304,2.016212,0.088092,605591,605591,3,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees converted-benches-no-flags/converted-benches-no-flags/translated/heat-3d-8-translated-noasyncepilogue.c converted-benches-no-flags/converted-benches-no-flags/translated/heat-3d-8-translated-noasyncepilogue.c ""A,B"""
3mm,converted-benches-no-flags,converted-benches-no-flags/converted-benches-no-flags/translated/3mm-8-translated-noasyncepilogue.c,converted-benches-no-flags/converted-benches-no-flags/translated/3mm-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,0.497565,0.509291,0.015094,178241,178241,3,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees converted-benches-no-flags/converted-benches-no-flags/translated/3mm-8-translated-noasyncepilogue.c converted-benches-no-flags/converted-benches-no-flags/translated/3mm-8-translated-noasyncepilogue.c ""A,B,C,D,E,F,G"""
syr2k,converted-benches-no-flags,converted-benches-no-flags/converted-benches-no-flags/translated/syr2k-8-translated-noasyncepilogue.c,converted-benches-no-flags/converted-benches-no-flags/translated/syr2k-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,0.404942,0.426166,0.016932,135773,135773,3,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees converted-benches-no-flags/converted-benches-no-flags/translated/syr2k-8-translated-noasyncepilogue.c converted-benches-no-flags/converted-benches-no-flags/translated/syr2k-8-translated-noasyncepilogue.c ""A,B,C"""
lu,converted-benches-no-flags,converted-benches-no-flags/converted-benches-no-flags/translated/lu-8-translated-noasyncepilogue.c,converted-benches-no-flags/converted-benches-no-flags/translated/lu-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,0.515938,0.528947,0.013870,174102,174102,3,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees converted-benches-no-flags/converted-benches-no-flags/translated/lu-8-translated-noasyncepilogue.c converted-benches-no-flags/converted-benches-no-flags/translated/lu-8-translated-noasyncepilogue.c ""A"""
gemver,converted-benches-no-flags,converted-benches-no-flags/converted-benches-no-flags/translated/gemver-8-translated-noasyncepilogue.c,converted-benches-no-flags/converted-benches-no-flags/translated/gemver-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,0.151984,0.124622,0.006089,48778,48778,3,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees converted-benches-no-flags/converted-benches-no-flags/translated/gemver-8-translated-noasyncepilogue.c converted-benches-no-flags/converted-benches-no-flags/translated/gemver-8-translated-noasyncepilogue.c ""A,u1,v1,u2,v2,w,x,y,z"""
mvt,converted-benches-no-flags,converted-benches-no-flags/converted-benches-no-flags/translated/mvt-8-translated-noasyncepilogue.c,converted-benches-no-flags/converted-benches-no-flags/translated/mvt-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,0.070636,0.066343,0.002540,25956,25956,3,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees converted-benches-no-flags/converted-benches-no-flags/translated/mvt-8-translated-noasyncepilogue.c converted-benches-no-flags/converted-benches-no-flags/translated/mvt-8-translated-noasyncepilogue.c ""x1,x2,y_1,y_2,A"""
jacobi-1d,converted-benches-no-flags,converted-benches-no-flags/converted-benches-no-flags/translated/jacobi-1d-8-translated-noasyncepilogue.c,converted-benches-no-flags/converted-benches-no-flags/translated/jacobi-1d-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,0.028591,0.027947,0.000960,12471,12471,3,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees converted-benches-no-flags/converted-benches-no-flags/translated/jacobi-1d-8-translated-noasyncepilogue.c converted-benches-no-flags/converted-benches-no-flags/translated/jacobi-1d-8-translated-noasyncepilogue.c ""A,B"""
