name,dir,file1,file2,result,timeout,conflict,tree_difference,interp_error,f1_diff_after_polymer,f2_diff_after_polymer,f1_diff_after_mliropt,f2_diff_after_mliropt,time_interp_file1,time_interp_file2,time_equivalence,num_stmts_file1,num_stmts_file2,num_tasks_file1,num_tasks_file2,command
adi,converted-benches-no-flags,generated-polybench-use-scalar-lb-mini-dataset/interp/adi-interp-noasync.c,converted-benches-no-flags/converted-benches-no-flags/translated/adi-8-translated-noasyncepilogue.c,fail,no,no,no,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/adi-interp-noasync.c converted-benches-no-flags/converted-benches-no-flags/translated/adi-8-translated-noasyncepilogue.c ""u,v,p,q"""
3mm,converted-benches-no-flags,generated-polybench-use-scalar-lb-mini-dataset/interp/3mm-interp-noasync.c,converted-benches-no-flags/converted-benches-no-flags/translated/3mm-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,0.246281,0.525616,0.013941,70226,178241,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/3mm-interp-noasync.c converted-benches-no-flags/converted-benches-no-flags/translated/3mm-8-translated-noasyncepilogue.c ""A,B,C,D,E,F,G"""
doitgen,converted-benches-no-flags,generated-polybench-use-scalar-lb-mini-dataset/interp/doitgen-interp-noasync.c,converted-benches-no-flags/converted-benches-no-flags/translated/doitgen-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,0.127989,0.295597,0.007257,42785,101357,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/doitgen-interp-noasync.c converted-benches-no-flags/converted-benches-no-flags/translated/doitgen-8-translated-noasyncepilogue.c ""A,C4,sum"""
syr2k,converted-benches-no-flags,generated-polybench-use-scalar-lb-mini-dataset/interp/syr2k-interp-noasync.c,converted-benches-no-flags/converted-benches-no-flags/translated/syr2k-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,0.152372,0.398656,0.017489,31902,135773,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/syr2k-interp-noasync.c converted-benches-no-flags/converted-benches-no-flags/translated/syr2k-8-translated-noasyncepilogue.c ""A,B,C"""
jacobi-1d,converted-benches-no-flags,generated-polybench-use-scalar-lb-mini-dataset/interp/jacobi-1d-interp-noasync.c,converted-benches-no-flags/converted-benches-no-flags/translated/jacobi-1d-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,0.012796,0.027830,0.000922,3497,12471,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/jacobi-1d-interp-noasync.c converted-benches-no-flags/converted-benches-no-flags/translated/jacobi-1d-8-translated-noasyncepilogue.c ""A,B"""
bicg,converted-benches-no-flags,generated-polybench-use-scalar-lb-mini-dataset/interp/bicg-interp-noasync.c,converted-benches-no-flags/converted-benches-no-flags/translated/bicg-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,0.023312,0.056663,0.002660,6736,22709,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/bicg-interp-noasync.c converted-benches-no-flags/converted-benches-no-flags/translated/bicg-8-translated-noasyncepilogue.c ""A,s,q,p,r"""
seidel-2d,converted-benches-no-flags,generated-polybench-use-scalar-lb-mini-dataset/interp/seidel-2d-interp-noasync.c,converted-benches-no-flags/converted-benches-no-flags/translated/seidel-2d-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,0.848140,2.626963,0.075258,89775,956188,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/seidel-2d-interp-noasync.c converted-benches-no-flags/converted-benches-no-flags/translated/seidel-2d-8-translated-noasyncepilogue.c ""A"""
gemm,converted-benches-no-flags,generated-polybench-use-scalar-lb-mini-dataset/interp/gemm-interp-noasync.c,converted-benches-no-flags/converted-benches-no-flags/translated/gemm-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,0.160841,0.386154,0.014911,49050,140062,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/gemm-interp-noasync.c converted-benches-no-flags/converted-benches-no-flags/translated/gemm-8-translated-noasyncepilogue.c ""A,B,C"""
floyd-warshall,converted-benches-no-flags,generated-polybench-use-scalar-lb-mini-dataset/interp/floyd-warshall-interp-noasync.c,converted-benches-no-flags/converted-benches-no-flags/translated/floyd-warshall-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,3.167859,5.438622,0.277736,662652,1958662,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/floyd-warshall-interp-noasync.c converted-benches-no-flags/converted-benches-no-flags/translated/floyd-warshall-8-translated-noasyncepilogue.c ""path"""
trmm,converted-benches-no-flags,generated-polybench-use-scalar-lb-mini-dataset/interp/trmm-interp-noasync.c,converted-benches-no-flags/converted-benches-no-flags/translated/trmm-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,0.061331,0.150213,0.003849,20201,50512,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/trmm-interp-noasync.c converted-benches-no-flags/converted-benches-no-flags/translated/trmm-8-translated-noasyncepilogue.c ""A,B"""
fdtd-2d,converted-benches-no-flags,generated-polybench-use-scalar-lb-mini-dataset/interp/fdtd-2d-interp-noasync.c,converted-benches-no-flags/converted-benches-no-flags/translated/fdtd-2d-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,0.477409,1.116215,0.041386,108727,402583,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/fdtd-2d-interp-noasync.c converted-benches-no-flags/converted-benches-no-flags/translated/fdtd-2d-8-translated-noasyncepilogue.c ""ex,ey,hz"""
gemver,converted-benches-no-flags,generated-polybench-use-scalar-lb-mini-dataset/interp/gemver-interp-noasync.c,converted-benches-no-flags/converted-benches-no-flags/translated/gemver-8-translated-noasyncepilogue.c,pass,no,no,no,no,N/A,N/A,N/A,N/A,0.051883,0.141741,0.020752,15047,48778,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/gemver-interp-noasync.c converted-benches-no-flags/converted-benches-no-flags/translated/gemver-8-translated-noasyncepilogue.c ""A,u1,v1,u2,v2,w,x,y,z"""
