name,dir,file1,file2,result,timeout,conflict,tree_difference,interp_error,out_of_bounds,f1_diff_after_polymer,f2_diff_after_polymer,f1_diff_after_mliropt,f2_diff_after_mliropt,time_interp_file1,time_interp_file2,time_equivalence,num_stmts_file1,num_stmts_file2,num_tasks_file1,num_tasks_file2,command
lu,affine-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/lu-interp-noasync.c,converted-affine-options/affine-loop-fusion/translated/lu-8-translated-noasyncepilogue.c,fail,no,no,no,no,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/lu-interp-noasync.c converted-affine-options/affine-loop-fusion/translated/lu-8-translated-noasyncepilogue.c ""A"""
heat-3d,affine-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/heat-3d-interp-noasync.c,converted-affine-options/affine-loop-fusion/translated/heat-3d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.828140,5.030233,0.106174,73099,1631834,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/heat-3d-interp-noasync.c converted-affine-options/affine-loop-fusion/translated/heat-3d-8-translated-noasyncepilogue.c ""A,B"""
gesummv,affine-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/gesummv-interp-noasync.c,converted-affine-options/affine-loop-fusion/translated/gesummv-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.014874,0.037734,0.001923,3839,14861,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/gesummv-interp-noasync.c converted-affine-options/affine-loop-fusion/translated/gesummv-8-translated-noasyncepilogue.c ""A,B,tmp,x,y"""
covariance,affine-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/covariance-interp-noasync.c,converted-affine-options/affine-loop-fusion/translated/covariance-8-translated-noasyncepilogue.c,fail,no,no,no,no,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/covariance-interp-noasync.c converted-affine-options/affine-loop-fusion/translated/covariance-8-translated-noasyncepilogue.c ""data,cov,mean"""
3mm,affine-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/3mm-interp-noasync.c,converted-affine-options/affine-loop-fusion/translated/3mm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.213795,0.556392,0.013598,70226,199101,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/3mm-interp-noasync.c converted-affine-options/affine-loop-fusion/translated/3mm-8-translated-noasyncepilogue.c ""A,B,C,D,E,F,G"""
doitgen,affine-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/doitgen-interp-noasync.c,converted-affine-options/affine-loop-fusion/translated/doitgen-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.123845,0.409458,0.007251,42785,128582,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/doitgen-interp-noasync.c converted-affine-options/affine-loop-fusion/translated/doitgen-8-translated-noasyncepilogue.c ""A,C4,sum"""
syr2k,affine-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/syr2k-interp-noasync.c,converted-affine-options/affine-loop-fusion/translated/syr2k-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.151696,0.380965,0.017769,31902,134725,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/syr2k-interp-noasync.c converted-affine-options/affine-loop-fusion/translated/syr2k-8-translated-noasyncepilogue.c ""A,B,C"""
jacobi-1d,affine-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/jacobi-1d-interp-noasync.c,converted-affine-options/affine-loop-fusion/translated/jacobi-1d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.011041,0.050894,0.000959,3497,21596,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/jacobi-1d-interp-noasync.c converted-affine-options/affine-loop-fusion/translated/jacobi-1d-8-translated-noasyncepilogue.c ""A,B"""
bicg,affine-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/bicg-interp-noasync.c,converted-affine-options/affine-loop-fusion/translated/bicg-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.023544,0.075427,0.002296,6736,27487,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/bicg-interp-noasync.c converted-affine-options/affine-loop-fusion/translated/bicg-8-translated-noasyncepilogue.c ""A,s,q,p,r"""
seidel-2d,affine-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/seidel-2d-interp-noasync.c,converted-affine-options/affine-loop-fusion/translated/seidel-2d-8-translated-noasyncepilogue.c,fail,no,no,no,no,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/seidel-2d-interp-noasync.c converted-affine-options/affine-loop-fusion/translated/seidel-2d-8-translated-noasyncepilogue.c ""A"""
gemm,affine-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/gemm-interp-noasync.c,converted-affine-options/affine-loop-fusion/translated/gemm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.156914,0.374383,0.014181,49050,138622,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/gemm-interp-noasync.c converted-affine-options/affine-loop-fusion/translated/gemm-8-translated-noasyncepilogue.c ""A,B,C"""
correlation,affine-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/correlation-interp-noasync.c,converted-affine-options/affine-loop-fusion/translated/correlation-8-translated-noasyncepilogue.c,fail,no,no,yes,no,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/correlation-interp-noasync.c converted-affine-options/affine-loop-fusion/translated/correlation-8-translated-noasyncepilogue.c ""data,corr,mean,stddev"""
floyd-warshall,affine-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/floyd-warshall-interp-noasync.c,converted-affine-options/affine-loop-fusion/translated/floyd-warshall-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,3.116332,6.048228,0.277901,662652,2004264,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/floyd-warshall-interp-noasync.c converted-affine-options/affine-loop-fusion/translated/floyd-warshall-8-translated-noasyncepilogue.c ""path"""
trmm,affine-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/trmm-interp-noasync.c,converted-affine-options/affine-loop-fusion/translated/trmm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.061350,0.141267,0.003707,20201,51685,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/trmm-interp-noasync.c converted-affine-options/affine-loop-fusion/translated/trmm-8-translated-noasyncepilogue.c ""A,B"""
fdtd-2d,affine-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/fdtd-2d-interp-noasync.c,converted-affine-options/affine-loop-fusion/translated/fdtd-2d-8-translated-noasyncepilogue.c,fail,no,no,no,no,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/fdtd-2d-interp-noasync.c converted-affine-options/affine-loop-fusion/translated/fdtd-2d-8-translated-noasyncepilogue.c ""ex,ey,hz"""
gemver,affine-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/gemver-interp-noasync.c,converted-affine-options/affine-loop-fusion/translated/gemver-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.050483,0.131819,0.005978,15047,46746,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/gemver-interp-noasync.c converted-affine-options/affine-loop-fusion/translated/gemver-8-translated-noasyncepilogue.c ""A,u1,v1,u2,v2,w,x,y,z"""
2mm,affine-loop-inv-code-motion,generated-polybench-use-scalar-lb-mini-dataset/interp/2mm-interp-noasync.c,converted-affine-options/affine-loop-inv-code-motion/translated/2mm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.138548,0.363251,0.009869,43273,132111,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/2mm-interp-noasync.c converted-affine-options/affine-loop-inv-code-motion/translated/2mm-8-translated-noasyncepilogue.c ""A,B,C,D"""
gramschmidt,affine-loop-inv-code-motion,generated-polybench-use-scalar-lb-mini-dataset/interp/gramschmidt-interp-noasync.c,converted-affine-options/affine-loop-inv-code-motion/translated/gramschmidt-8-translated-noasyncepilogue.c,fail,no,no,yes,no,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/gramschmidt-interp-noasync.c converted-affine-options/affine-loop-inv-code-motion/translated/gramschmidt-8-translated-noasyncepilogue.c ""A,R,Q"""
mvt,affine-loop-inv-code-motion,generated-polybench-use-scalar-lb-mini-dataset/interp/mvt-interp-noasync.c,converted-affine-options/affine-loop-inv-code-motion/translated/mvt-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.027831,0.062907,0.002629,9945,23116,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/mvt-interp-noasync.c converted-affine-options/affine-loop-inv-code-motion/translated/mvt-8-translated-noasyncepilogue.c ""x1,x2,y_1,y_2,A"""
cholesky,affine-loop-inv-code-motion,generated-polybench-use-scalar-lb-mini-dataset/interp/cholesky-interp-noasync.c,converted-affine-options/affine-loop-inv-code-motion/translated/cholesky-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.119025,0.356715,0.007161,36172,112025,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/cholesky-interp-noasync.c converted-affine-options/affine-loop-inv-code-motion/translated/cholesky-8-translated-noasyncepilogue.c ""A"""
deriche,affine-loop-inv-code-motion,generated-polybench-use-scalar-lb-mini-dataset/interp/deriche-interp-noasync.c,converted-affine-options/affine-loop-inv-code-motion/translated/deriche-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.352196,1.042085,0.048518,133581,470881,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/deriche-interp-noasync.c converted-affine-options/affine-loop-inv-code-motion/translated/deriche-8-translated-noasyncepilogue.c ""alpha,imgIn,imgOut,y1,y2"""
jacobi-2d,affine-loop-inv-code-motion,generated-polybench-use-scalar-lb-mini-dataset/interp/jacobi-2d-interp-noasync.c,converted-affine-options/affine-loop-inv-code-motion/translated/jacobi-2d-8-translated-noasyncepilogue.c,fail,no,no,no,no,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/jacobi-2d-interp-noasync.c converted-affine-options/affine-loop-inv-code-motion/translated/jacobi-2d-8-translated-noasyncepilogue.c ""A,B"""
trisolv,affine-loop-inv-code-motion,generated-polybench-use-scalar-lb-mini-dataset/interp/trisolv-interp-noasync.c,converted-affine-options/affine-loop-inv-code-motion/translated/trisolv-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.008591,0.026513,0.000974,2597,9121,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/trisolv-interp-noasync.c converted-affine-options/affine-loop-inv-code-motion/translated/trisolv-8-translated-noasyncepilogue.c ""L,x,b"""
syrk,affine-loop-inv-code-motion,generated-polybench-use-scalar-lb-mini-dataset/interp/syrk-interp-noasync.c,converted-affine-options/affine-loop-inv-code-motion/translated/syrk-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.107358,0.240009,0.008482,31899,88222,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/syrk-interp-noasync.c converted-affine-options/affine-loop-inv-code-motion/translated/syrk-8-translated-noasyncepilogue.c ""A,C"""
durbin,affine-loop-inv-code-motion,generated-polybench-use-scalar-lb-mini-dataset/interp/durbin-interp-noasync.c,converted-affine-options/affine-loop-inv-code-motion/translated/durbin-8-translated-noasyncepilogue.c,fail,no,no,yes,no,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/durbin-interp-noasync.c converted-affine-options/affine-loop-inv-code-motion/translated/durbin-8-translated-noasyncepilogue.c ""r,y"""
atax,affine-loop-inv-code-motion,generated-polybench-use-scalar-lb-mini-dataset/interp/atax-interp-noasync.c,converted-affine-options/affine-loop-inv-code-motion/translated/atax-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.036193,0.070153,0.002480,9993,25628,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/atax-interp-noasync.c converted-affine-options/affine-loop-inv-code-motion/translated/atax-8-translated-noasyncepilogue.c ""A,x,y,tmp"""
lu,affine-loop-inv-code-motion,generated-polybench-use-scalar-lb-mini-dataset/interp/lu-interp-noasync.c,converted-affine-options/affine-loop-inv-code-motion/translated/lu-8-translated-noasyncepilogue.c,fail,no,no,no,no,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/lu-interp-noasync.c converted-affine-options/affine-loop-inv-code-motion/translated/lu-8-translated-noasyncepilogue.c ""A"""
heat-3d,affine-loop-inv-code-motion,generated-polybench-use-scalar-lb-mini-dataset/interp/heat-3d-interp-noasync.c,converted-affine-options/affine-loop-inv-code-motion/translated/heat-3d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.808454,5.068962,0.106426,73099,1631834,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/heat-3d-interp-noasync.c converted-affine-options/affine-loop-inv-code-motion/translated/heat-3d-8-translated-noasyncepilogue.c ""A,B"""
gesummv,affine-loop-inv-code-motion,generated-polybench-use-scalar-lb-mini-dataset/interp/gesummv-interp-noasync.c,converted-affine-options/affine-loop-inv-code-motion/translated/gesummv-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.015054,0.038724,0.001929,3839,15109,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/gesummv-interp-noasync.c converted-affine-options/affine-loop-inv-code-motion/translated/gesummv-8-translated-noasyncepilogue.c ""A,B,tmp,x,y"""
covariance,affine-loop-inv-code-motion,generated-polybench-use-scalar-lb-mini-dataset/interp/covariance-interp-noasync.c,converted-affine-options/affine-loop-inv-code-motion/translated/covariance-8-translated-noasyncepilogue.c,fail,no,no,no,no,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/covariance-interp-noasync.c converted-affine-options/affine-loop-inv-code-motion/translated/covariance-8-translated-noasyncepilogue.c ""data,cov,mean"""
3mm,affine-loop-inv-code-motion,generated-polybench-use-scalar-lb-mini-dataset/interp/3mm-interp-noasync.c,converted-affine-options/affine-loop-inv-code-motion/translated/3mm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.213475,0.498463,0.013543,70226,184413,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/3mm-interp-noasync.c converted-affine-options/affine-loop-inv-code-motion/translated/3mm-8-translated-noasyncepilogue.c ""A,B,C,D,E,F,G"""
doitgen,affine-loop-inv-code-motion,generated-polybench-use-scalar-lb-mini-dataset/interp/doitgen-interp-noasync.c,converted-affine-options/affine-loop-inv-code-motion/translated/doitgen-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.123145,0.276023,0.007400,42785,96902,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/doitgen-interp-noasync.c converted-affine-options/affine-loop-inv-code-motion/translated/doitgen-8-translated-noasyncepilogue.c ""A,C4,sum"""
syr2k,affine-loop-inv-code-motion,generated-polybench-use-scalar-lb-mini-dataset/interp/syr2k-interp-noasync.c,converted-affine-options/affine-loop-inv-code-motion/translated/syr2k-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.150524,0.382348,0.017561,31902,134725,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/syr2k-interp-noasync.c converted-affine-options/affine-loop-inv-code-motion/translated/syr2k-8-translated-noasyncepilogue.c ""A,B,C"""
jacobi-1d,affine-loop-inv-code-motion,generated-polybench-use-scalar-lb-mini-dataset/interp/jacobi-1d-interp-noasync.c,converted-affine-options/affine-loop-inv-code-motion/translated/jacobi-1d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.011166,0.052272,0.000950,3497,21596,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/jacobi-1d-interp-noasync.c converted-affine-options/affine-loop-inv-code-motion/translated/jacobi-1d-8-translated-noasyncepilogue.c ""A,B"""
bicg,affine-loop-inv-code-motion,generated-polybench-use-scalar-lb-mini-dataset/interp/bicg-interp-noasync.c,converted-affine-options/affine-loop-inv-code-motion/translated/bicg-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.023624,0.070386,0.002370,6736,25767,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/bicg-interp-noasync.c converted-affine-options/affine-loop-inv-code-motion/translated/bicg-8-translated-noasyncepilogue.c ""A,s,q,p,r"""
seidel-2d,affine-loop-inv-code-motion,generated-polybench-use-scalar-lb-mini-dataset/interp/seidel-2d-interp-noasync.c,converted-affine-options/affine-loop-inv-code-motion/translated/seidel-2d-8-translated-noasyncepilogue.c,fail,no,no,no,no,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/seidel-2d-interp-noasync.c converted-affine-options/affine-loop-inv-code-motion/translated/seidel-2d-8-translated-noasyncepilogue.c ""A"""
gemm,affine-loop-inv-code-motion,generated-polybench-use-scalar-lb-mini-dataset/interp/gemm-interp-noasync.c,converted-affine-options/affine-loop-inv-code-motion/translated/gemm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.156563,0.290380,0.014477,49050,111304,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/gemm-interp-noasync.c converted-affine-options/affine-loop-inv-code-motion/translated/gemm-8-translated-noasyncepilogue.c ""A,B,C"""
correlation,affine-loop-inv-code-motion,generated-polybench-use-scalar-lb-mini-dataset/interp/correlation-interp-noasync.c,converted-affine-options/affine-loop-inv-code-motion/translated/correlation-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.195386,0.317587,0.010077,48206,117182,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/correlation-interp-noasync.c converted-affine-options/affine-loop-inv-code-motion/translated/correlation-8-translated-noasyncepilogue.c ""data,corr,mean,stddev"""
