nameoutput_dir,all_pass,fail_command,flag_did_nothing
trmm,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
bicg,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
floyd-warshall,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
cholesky,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
jacobi-1d,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
gesummv,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
atax,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
mvt,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
2mm,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
fdtd-2d,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
heat-3d,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
nussinov,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion,no,cgeist generated-polybench-use-scalar-lb-mini-dataset/kernel/nussinov.c -S -function=kernel_nussinov -raise-scf-to-affine
jacobi-2d,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
gemm,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
gemver,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
syr2k,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion,yes,N/A,yes
trisolv,converted-affine-options-no-polymer/affine-no-polymer-normalize,yes,N/A,yes
doitgen,converted-affine-options-no-polymer/affine-no-polymer-normalize,yes,N/A,yes
correlation,converted-affine-options-no-polymer/affine-no-polymer-normalize,no,verif-translate --translate-to-past converted-affine-options-no-polymer/affine-no-polymer-normalize/correlation-6-after-conversion.mlir
seidel-2d,converted-affine-options-no-polymer/affine-no-polymer-normalize,yes,N/A,yes
lu,converted-affine-options-no-polymer/affine-no-polymer-normalize,yes,N/A,yes
3mm,converted-affine-options-no-polymer/affine-no-polymer-normalize,yes,N/A,yes
covariance,converted-affine-options-no-polymer/affine-no-polymer-normalize,yes,N/A,yes
syrk,converted-affine-options-no-polymer/affine-no-polymer-normalize,yes,N/A,yes
trmm,converted-affine-options-no-polymer/affine-no-polymer-normalize,yes,N/A,yes
bicg,converted-affine-options-no-polymer/affine-no-polymer-normalize,yes,N/A,yes
floyd-warshall,converted-affine-options-no-polymer/affine-no-polymer-normalize,yes,N/A,yes
cholesky,converted-affine-options-no-polymer/affine-no-polymer-normalize,yes,N/A,yes
jacobi-1d,converted-affine-options-no-polymer/affine-no-polymer-normalize,yes,N/A,yes
gesummv,converted-affine-options-no-polymer/affine-no-polymer-normalize,yes,N/A,yes
atax,converted-affine-options-no-polymer/affine-no-polymer-normalize,yes,N/A,yes
mvt,converted-affine-options-no-polymer/affine-no-polymer-normalize,yes,N/A,yes
2mm,converted-affine-options-no-polymer/affine-no-polymer-normalize,yes,N/A,yes
fdtd-2d,converted-affine-options-no-polymer/affine-no-polymer-normalize,yes,N/A,yes
heat-3d,converted-affine-options-no-polymer/affine-no-polymer-normalize,yes,N/A,yes
nussinov,converted-affine-options-no-polymer/affine-no-polymer-normalize,no,cgeist generated-polybench-use-scalar-lb-mini-dataset/kernel/nussinov.c -S -function=kernel_nussinov -raise-scf-to-affine
jacobi-2d,converted-affine-options-no-polymer/affine-no-polymer-normalize,yes,N/A,yes
gemm,converted-affine-options-no-polymer/affine-no-polymer-normalize,yes,N/A,yes
gemver,converted-affine-options-no-polymer/affine-no-polymer-normalize,yes,N/A,yes
syr2k,converted-affine-options-no-polymer/affine-no-polymer-normalize,yes,N/A,yes
trisolv,converted-affine-options-no-polymer/affine-no-polymer-tile,yes,N/A,no
doitgen,converted-affine-options-no-polymer/affine-no-polymer-tile,yes,N/A,no
correlation,converted-affine-options-no-polymer/affine-no-polymer-tile,no,verif-translate --translate-to-past converted-affine-options-no-polymer/affine-no-polymer-tile/correlation-6-after-conversion.mlir
seidel-2d,converted-affine-options-no-polymer/affine-no-polymer-tile,yes,N/A,no
lu,converted-affine-options-no-polymer/affine-no-polymer-tile,yes,N/A,no
3mm,converted-affine-options-no-polymer/affine-no-polymer-tile,yes,N/A,no
covariance,converted-affine-options-no-polymer/affine-no-polymer-tile,yes,N/A,no
syrk,converted-affine-options-no-polymer/affine-no-polymer-tile,yes,N/A,no
trmm,converted-affine-options-no-polymer/affine-no-polymer-tile,yes,N/A,no
bicg,converted-affine-options-no-polymer/affine-no-polymer-tile,yes,N/A,no
floyd-warshall,converted-affine-options-no-polymer/affine-no-polymer-tile,yes,N/A,no
cholesky,converted-affine-options-no-polymer/affine-no-polymer-tile,yes,N/A,no
jacobi-1d,converted-affine-options-no-polymer/affine-no-polymer-tile,yes,N/A,no
gesummv,converted-affine-options-no-polymer/affine-no-polymer-tile,yes,N/A,no
atax,converted-affine-options-no-polymer/affine-no-polymer-tile,yes,N/A,no
mvt,converted-affine-options-no-polymer/affine-no-polymer-tile,yes,N/A,no
2mm,converted-affine-options-no-polymer/affine-no-polymer-tile,yes,N/A,no
fdtd-2d,converted-affine-options-no-polymer/affine-no-polymer-tile,yes,N/A,no
heat-3d,converted-affine-options-no-polymer/affine-no-polymer-tile,yes,N/A,no
nussinov,converted-affine-options-no-polymer/affine-no-polymer-tile,no,cgeist generated-polybench-use-scalar-lb-mini-dataset/kernel/nussinov.c -S -function=kernel_nussinov -raise-scf-to-affine
jacobi-2d,converted-affine-options-no-polymer/affine-no-polymer-tile,yes,N/A,no
gemm,converted-affine-options-no-polymer/affine-no-polymer-tile,yes,N/A,no
gemver,converted-affine-options-no-polymer/affine-no-polymer-tile,yes,N/A,no
syr2k,converted-affine-options-no-polymer/affine-no-polymer-tile,yes,N/A,no
trisolv,converted-affine-options-no-polymer/affine-no-polymer-unroll,yes,N/A,no
doitgen,converted-affine-options-no-polymer/affine-no-polymer-unroll,yes,N/A,no
correlation,converted-affine-options-no-polymer/affine-no-polymer-unroll,no,verif-translate --translate-to-past converted-affine-options-no-polymer/affine-no-polymer-unroll/correlation-6-after-conversion.mlir
seidel-2d,converted-affine-options-no-polymer/affine-no-polymer-unroll,yes,N/A,no
lu,converted-affine-options-no-polymer/affine-no-polymer-unroll,yes,N/A,no
3mm,converted-affine-options-no-polymer/affine-no-polymer-unroll,yes,N/A,no
covariance,converted-affine-options-no-polymer/affine-no-polymer-unroll,yes,N/A,no
syrk,converted-affine-options-no-polymer/affine-no-polymer-unroll,yes,N/A,no
trmm,converted-affine-options-no-polymer/affine-no-polymer-unroll,yes,N/A,no
bicg,converted-affine-options-no-polymer/affine-no-polymer-unroll,yes,N/A,no
floyd-warshall,converted-affine-options-no-polymer/affine-no-polymer-unroll,yes,N/A,no
cholesky,converted-affine-options-no-polymer/affine-no-polymer-unroll,yes,N/A,no
jacobi-1d,converted-affine-options-no-polymer/affine-no-polymer-unroll,yes,N/A,no
gesummv,converted-affine-options-no-polymer/affine-no-polymer-unroll,yes,N/A,no
atax,converted-affine-options-no-polymer/affine-no-polymer-unroll,yes,N/A,no
mvt,converted-affine-options-no-polymer/affine-no-polymer-unroll,yes,N/A,no
2mm,converted-affine-options-no-polymer/affine-no-polymer-unroll,yes,N/A,no
fdtd-2d,converted-affine-options-no-polymer/affine-no-polymer-unroll,yes,N/A,no
heat-3d,converted-affine-options-no-polymer/affine-no-polymer-unroll,yes,N/A,no
nussinov,converted-affine-options-no-polymer/affine-no-polymer-unroll,no,cgeist generated-polybench-use-scalar-lb-mini-dataset/kernel/nussinov.c -S -function=kernel_nussinov -raise-scf-to-affine
jacobi-2d,converted-affine-options-no-polymer/affine-no-polymer-unroll,yes,N/A,no
gemm,converted-affine-options-no-polymer/affine-no-polymer-unroll,yes,N/A,no
gemver,converted-affine-options-no-polymer/affine-no-polymer-unroll,yes,N/A,no
syr2k,converted-affine-options-no-polymer/affine-no-polymer-unroll,yes,N/A,no
trisolv,converted-affine-options-no-polymer/affine-no-polymer-unroll-jam,yes,N/A,yes
doitgen,converted-affine-options-no-polymer/affine-no-polymer-unroll-jam,yes,N/A,yes
correlation,converted-affine-options-no-polymer/affine-no-polymer-unroll-jam,no,verif-translate --translate-to-past converted-affine-options-no-polymer/affine-no-polymer-unroll-jam/correlation-6-after-conversion.mlir
seidel-2d,converted-affine-options-no-polymer/affine-no-polymer-unroll-jam,yes,N/A,yes
lu,converted-affine-options-no-polymer/affine-no-polymer-unroll-jam,yes,N/A,yes
3mm,converted-affine-options-no-polymer/affine-no-polymer-unroll-jam,yes,N/A,yes
covariance,converted-affine-options-no-polymer/affine-no-polymer-unroll-jam,yes,N/A,yes
syrk,converted-affine-options-no-polymer/affine-no-polymer-unroll-jam,yes,N/A,yes
trmm,converted-affine-options-no-polymer/affine-no-polymer-unroll-jam,yes,N/A,yes
bicg,converted-affine-options-no-polymer/affine-no-polymer-unroll-jam,yes,N/A,yes
floyd-warshall,converted-affine-options-no-polymer/affine-no-polymer-unroll-jam,yes,N/A,yes
cholesky,converted-affine-options-no-polymer/affine-no-polymer-unroll-jam,yes,N/A,yes
jacobi-1d,converted-affine-options-no-polymer/affine-no-polymer-unroll-jam,yes,N/A,yes
gesummv,converted-affine-options-no-polymer/affine-no-polymer-unroll-jam,yes,N/A,yes
atax,converted-affine-options-no-polymer/affine-no-polymer-unroll-jam,yes,N/A,yes
mvt,converted-affine-options-no-polymer/affine-no-polymer-unroll-jam,yes,N/A,yes
2mm,converted-affine-options-no-polymer/affine-no-polymer-unroll-jam,yes,N/A,yes
fdtd-2d,converted-affine-options-no-polymer/affine-no-polymer-unroll-jam,yes,N/A,yes
heat-3d,converted-affine-options-no-polymer/affine-no-polymer-unroll-jam,yes,N/A,yes
nussinov,converted-affine-options-no-polymer/affine-no-polymer-unroll-jam,no,cgeist generated-polybench-use-scalar-lb-mini-dataset/kernel/nussinov.c -S -function=kernel_nussinov -raise-scf-to-affine
jacobi-2d,converted-affine-options-no-polymer/affine-no-polymer-unroll-jam,yes,N/A,yes
gemm,converted-affine-options-no-polymer/affine-no-polymer-unroll-jam,yes,N/A,yes
gemver,converted-affine-options-no-polymer/affine-no-polymer-unroll-jam,yes,N/A,yes
syr2k,converted-affine-options-no-polymer/affine-no-polymer-unroll-jam,yes,N/A,yes
trisolv,converted-affine-options-no-polymer/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
doitgen,converted-affine-options-no-polymer/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
correlation,converted-affine-options-no-polymer/affine-no-polymer-tile-and-unroll-jam,no,verif-translate --translate-to-past converted-affine-options-no-polymer/affine-no-polymer-tile-and-unroll-jam/correlation-6-after-conversion.mlir
seidel-2d,converted-affine-options-no-polymer/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
lu,converted-affine-options-no-polymer/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
3mm,converted-affine-options-no-polymer/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
covariance,converted-affine-options-no-polymer/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
syrk,converted-affine-options-no-polymer/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
trmm,converted-affine-options-no-polymer/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
bicg,converted-affine-options-no-polymer/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
floyd-warshall,converted-affine-options-no-polymer/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
cholesky,converted-affine-options-no-polymer/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
jacobi-1d,converted-affine-options-no-polymer/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
gesummv,converted-affine-options-no-polymer/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
atax,converted-affine-options-no-polymer/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
mvt,converted-affine-options-no-polymer/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
2mm,converted-affine-options-no-polymer/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
fdtd-2d,converted-affine-options-no-polymer/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
heat-3d,converted-affine-options-no-polymer/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
nussinov,converted-affine-options-no-polymer/affine-no-polymer-tile-and-unroll-jam,no,cgeist generated-polybench-use-scalar-lb-mini-dataset/kernel/nussinov.c -S -function=kernel_nussinov -raise-scf-to-affine
jacobi-2d,converted-affine-options-no-polymer/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
gemm,converted-affine-options-no-polymer/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
gemver,converted-affine-options-no-polymer/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
syr2k,converted-affine-options-no-polymer/affine-no-polymer-tile-and-unroll-jam,yes,N/A,no
trisolv,converted-affine-options-no-polymer/affine-no-polymer-fuse-and-tile,yes,N/A,no
doitgen,converted-affine-options-no-polymer/affine-no-polymer-fuse-and-tile,yes,N/A,no
correlation,converted-affine-options-no-polymer/affine-no-polymer-fuse-and-tile,no,verif-translate --translate-to-past converted-affine-options-no-polymer/affine-no-polymer-fuse-and-tile/correlation-6-after-conversion.mlir
seidel-2d,converted-affine-options-no-polymer/affine-no-polymer-fuse-and-tile,yes,N/A,no
lu,converted-affine-options-no-polymer/affine-no-polymer-fuse-and-tile,yes,N/A,no
3mm,converted-affine-options-no-polymer/affine-no-polymer-fuse-and-tile,yes,N/A,no
covariance,converted-affine-options-no-polymer/affine-no-polymer-fuse-and-tile,yes,N/A,no
syrk,converted-affine-options-no-polymer/affine-no-polymer-fuse-and-tile,yes,N/A,no
trmm,converted-affine-options-no-polymer/affine-no-polymer-fuse-and-tile,yes,N/A,no
bicg,converted-affine-options-no-polymer/affine-no-polymer-fuse-and-tile,yes,N/A,no
floyd-warshall,converted-affine-options-no-polymer/affine-no-polymer-fuse-and-tile,yes,N/A,no
cholesky,converted-affine-options-no-polymer/affine-no-polymer-fuse-and-tile,yes,N/A,no
jacobi-1d,converted-affine-options-no-polymer/affine-no-polymer-fuse-and-tile,yes,N/A,no
gesummv,converted-affine-options-no-polymer/affine-no-polymer-fuse-and-tile,yes,N/A,no
atax,converted-affine-options-no-polymer/affine-no-polymer-fuse-and-tile,yes,N/A,no
mvt,converted-affine-options-no-polymer/affine-no-polymer-fuse-and-tile,yes,N/A,no
2mm,converted-affine-options-no-polymer/affine-no-polymer-fuse-and-tile,yes,N/A,no
fdtd-2d,converted-affine-options-no-polymer/affine-no-polymer-fuse-and-tile,yes,N/A,no
heat-3d,converted-affine-options-no-polymer/affine-no-polymer-fuse-and-tile,yes,N/A,no
nussinov,converted-affine-options-no-polymer/affine-no-polymer-fuse-and-tile,no,cgeist generated-polybench-use-scalar-lb-mini-dataset/kernel/nussinov.c -S -function=kernel_nussinov -raise-scf-to-affine
jacobi-2d,converted-affine-options-no-polymer/affine-no-polymer-fuse-and-tile,yes,N/A,no
gemm,converted-affine-options-no-polymer/affine-no-polymer-fuse-and-tile,yes,N/A,no
gemver,converted-affine-options-no-polymer/affine-no-polymer-fuse-and-tile,yes,N/A,no
syr2k,converted-affine-options-no-polymer/affine-no-polymer-fuse-and-tile,yes,N/A,no
trisolv,converted-affine-options-no-polymer/affine-no-polymer-parallelize,yes,N/A,yes
doitgen,converted-affine-options-no-polymer/affine-no-polymer-parallelize,yes,N/A,yes
correlation,converted-affine-options-no-polymer/affine-no-polymer-parallelize,no,verif-translate --translate-to-past converted-affine-options-no-polymer/affine-no-polymer-parallelize/correlation-6-after-conversion.mlir
seidel-2d,converted-affine-options-no-polymer/affine-no-polymer-parallelize,yes,N/A,yes
lu,converted-affine-options-no-polymer/affine-no-polymer-parallelize,yes,N/A,yes
3mm,converted-affine-options-no-polymer/affine-no-polymer-parallelize,yes,N/A,yes
covariance,converted-affine-options-no-polymer/affine-no-polymer-parallelize,yes,N/A,yes
syrk,converted-affine-options-no-polymer/affine-no-polymer-parallelize,yes,N/A,yes
trmm,converted-affine-options-no-polymer/affine-no-polymer-parallelize,yes,N/A,yes
bicg,converted-affine-options-no-polymer/affine-no-polymer-parallelize,yes,N/A,yes
floyd-warshall,converted-affine-options-no-polymer/affine-no-polymer-parallelize,yes,N/A,yes
cholesky,converted-affine-options-no-polymer/affine-no-polymer-parallelize,yes,N/A,yes
jacobi-1d,converted-affine-options-no-polymer/affine-no-polymer-parallelize,yes,N/A,yes
gesummv,converted-affine-options-no-polymer/affine-no-polymer-parallelize,yes,N/A,yes
atax,converted-affine-options-no-polymer/affine-no-polymer-parallelize,yes,N/A,yes
mvt,converted-affine-options-no-polymer/affine-no-polymer-parallelize,yes,N/A,yes
2mm,converted-affine-options-no-polymer/affine-no-polymer-parallelize,yes,N/A,yes
fdtd-2d,converted-affine-options-no-polymer/affine-no-polymer-parallelize,yes,N/A,yes
heat-3d,converted-affine-options-no-polymer/affine-no-polymer-parallelize,yes,N/A,yes
nussinov,converted-affine-options-no-polymer/affine-no-polymer-parallelize,no,cgeist generated-polybench-use-scalar-lb-mini-dataset/kernel/nussinov.c -S -function=kernel_nussinov -raise-scf-to-affine
jacobi-2d,converted-affine-options-no-polymer/affine-no-polymer-parallelize,yes,N/A,yes
gemm,converted-affine-options-no-polymer/affine-no-polymer-parallelize,yes,N/A,yes
gemver,converted-affine-options-no-polymer/affine-no-polymer-parallelize,yes,N/A,yes
syr2k,converted-affine-options-no-polymer/affine-no-polymer-parallelize,yes,N/A,yes
trisolv,converted-affine-options-no-polymer/affine-no-polymer-all,no,verif-translate --translate-to-past converted-affine-options-no-polymer/affine-no-polymer-all/trisolv-6-after-conversion.mlir
doitgen,converted-affine-options-no-polymer/affine-no-polymer-all,yes,N/A,no
correlation,converted-affine-options-no-polymer/affine-no-polymer-all,no,verif-translate --translate-to-past converted-affine-options-no-polymer/affine-no-polymer-all/correlation-6-after-conversion.mlir
seidel-2d,converted-affine-options-no-polymer/affine-no-polymer-all,yes,N/A,no
lu,converted-affine-options-no-polymer/affine-no-polymer-all,no,verif-translate --translate-to-past converted-affine-options-no-polymer/affine-no-polymer-all/lu-6-after-conversion.mlir
3mm,converted-affine-options-no-polymer/affine-no-polymer-all,yes,N/A,no
covariance,converted-affine-options-no-polymer/affine-no-polymer-all,yes,N/A,no
syrk,converted-affine-options-no-polymer/affine-no-polymer-all,yes,N/A,no
trmm,converted-affine-options-no-polymer/affine-no-polymer-all,yes,N/A,no
bicg,converted-affine-options-no-polymer/affine-no-polymer-all,yes,N/A,no
floyd-warshall,converted-affine-options-no-polymer/affine-no-polymer-all,yes,N/A,no
cholesky,converted-affine-options-no-polymer/affine-no-polymer-all,no,verif-translate --translate-to-past converted-affine-options-no-polymer/affine-no-polymer-all/cholesky-6-after-conversion.mlir
jacobi-1d,converted-affine-options-no-polymer/affine-no-polymer-all,yes,N/A,no
gesummv,converted-affine-options-no-polymer/affine-no-polymer-all,yes,N/A,no
atax,converted-affine-options-no-polymer/affine-no-polymer-all,yes,N/A,no
mvt,converted-affine-options-no-polymer/affine-no-polymer-all,yes,N/A,no
2mm,converted-affine-options-no-polymer/affine-no-polymer-all,yes,N/A,no
fdtd-2d,converted-affine-options-no-polymer/affine-no-polymer-all,yes,N/A,no
heat-3d,converted-affine-options-no-polymer/affine-no-polymer-all,yes,N/A,no
nussinov,converted-affine-options-no-polymer/affine-no-polymer-all,no,cgeist generated-polybench-use-scalar-lb-mini-dataset/kernel/nussinov.c -S -function=kernel_nussinov -raise-scf-to-affine
jacobi-2d,converted-affine-options-no-polymer/affine-no-polymer-all,yes,N/A,no
gemm,converted-affine-options-no-polymer/affine-no-polymer-all,yes,N/A,no
gemver,converted-affine-options-no-polymer/affine-no-polymer-all,yes,N/A,no
syr2k,converted-affine-options-no-polymer/affine-no-polymer-all,yes,N/A,no
trisolv,converted-affine-options-no-polymer/affine-no-polymer-all-except-parallelize,no,verif-translate --translate-to-past converted-affine-options-no-polymer/affine-no-polymer-all-except-parallelize/trisolv-6-after-conversion.mlir
doitgen,converted-affine-options-no-polymer/affine-no-polymer-all-except-parallelize,yes,N/A,no
correlation,converted-affine-options-no-polymer/affine-no-polymer-all-except-parallelize,no,verif-translate --translate-to-past converted-affine-options-no-polymer/affine-no-polymer-all-except-parallelize/correlation-6-after-conversion.mlir
seidel-2d,converted-affine-options-no-polymer/affine-no-polymer-all-except-parallelize,yes,N/A,no
lu,converted-affine-options-no-polymer/affine-no-polymer-all-except-parallelize,no,verif-translate --translate-to-past converted-affine-options-no-polymer/affine-no-polymer-all-except-parallelize/lu-6-after-conversion.mlir
3mm,converted-affine-options-no-polymer/affine-no-polymer-all-except-parallelize,yes,N/A,no
covariance,converted-affine-options-no-polymer/affine-no-polymer-all-except-parallelize,yes,N/A,no
syrk,converted-affine-options-no-polymer/affine-no-polymer-all-except-parallelize,yes,N/A,no
trmm,converted-affine-options-no-polymer/affine-no-polymer-all-except-parallelize,yes,N/A,no
bicg,converted-affine-options-no-polymer/affine-no-polymer-all-except-parallelize,yes,N/A,no
floyd-warshall,converted-affine-options-no-polymer/affine-no-polymer-all-except-parallelize,yes,N/A,no
cholesky,converted-affine-options-no-polymer/affine-no-polymer-all-except-parallelize,no,verif-translate --translate-to-past converted-affine-options-no-polymer/affine-no-polymer-all-except-parallelize/cholesky-6-after-conversion.mlir
jacobi-1d,converted-affine-options-no-polymer/affine-no-polymer-all-except-parallelize,yes,N/A,no
gesummv,converted-affine-options-no-polymer/affine-no-polymer-all-except-parallelize,yes,N/A,no
atax,converted-affine-options-no-polymer/affine-no-polymer-all-except-parallelize,yes,N/A,no
mvt,converted-affine-options-no-polymer/affine-no-polymer-all-except-parallelize,yes,N/A,no
2mm,converted-affine-options-no-polymer/affine-no-polymer-all-except-parallelize,yes,N/A,no
fdtd-2d,converted-affine-options-no-polymer/affine-no-polymer-all-except-parallelize,yes,N/A,no
heat-3d,converted-affine-options-no-polymer/affine-no-polymer-all-except-parallelize,yes,N/A,no
nussinov,converted-affine-options-no-polymer/affine-no-polymer-all-except-parallelize,no,cgeist generated-polybench-use-scalar-lb-mini-dataset/kernel/nussinov.c -S -function=kernel_nussinov -raise-scf-to-affine
jacobi-2d,converted-affine-options-no-polymer/affine-no-polymer-all-except-parallelize,yes,N/A,no
gemm,converted-affine-options-no-polymer/affine-no-polymer-all-except-parallelize,yes,N/A,no
gemver,converted-affine-options-no-polymer/affine-no-polymer-all-except-parallelize,yes,N/A,no
syr2k,converted-affine-options-no-polymer/affine-no-polymer-all-except-parallelize,yes,N/A,no
