name,dir,file1,file2,result,timeout,conflict,tree_difference,interp_error,out_of_bounds,f1_diff_after_polymer,f2_diff_after_polymer,f1_diff_after_mliropt,f2_diff_after_mliropt,time_interp_file1,time_interp_file2,time_equivalence,num_stmts_file1,num_stmts_file2,num_tasks_file1,num_tasks_file2,command
syr2k,affine-no-polymer-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/syr2k-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/syr2k-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.153824,0.424962,0.018096,31902,135773,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/syr2k-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/syr2k-8-translated-noasyncepilogue.c ""A,B,C"""
jacobi-1d,affine-no-polymer-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/jacobi-1d-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/jacobi-1d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.011354,0.028038,0.000979,3497,12471,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/jacobi-1d-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/jacobi-1d-8-translated-noasyncepilogue.c ""A,B"""
bicg,affine-no-polymer-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/bicg-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/bicg-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.023994,0.057799,0.002781,6736,22709,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/bicg-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/bicg-8-translated-noasyncepilogue.c ""A,s,q,p,r"""
seidel-2d,affine-no-polymer-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/seidel-2d-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/seidel-2d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.844909,2.602116,0.076977,89775,956188,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/seidel-2d-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/seidel-2d-8-translated-noasyncepilogue.c ""A"""
gemm,affine-no-polymer-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/gemm-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/gemm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.169984,0.390526,0.014443,49050,140062,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/gemm-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/gemm-8-translated-noasyncepilogue.c ""A,B,C"""
correlation,affine-no-polymer-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/correlation-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/correlation-8-translated-noasyncepilogue.c,fail,no,no,no,no,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/correlation-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/correlation-8-translated-noasyncepilogue.c ""data,corr,mean,stddev"""
floyd-warshall,affine-no-polymer-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/floyd-warshall-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/floyd-warshall-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,3.208495,5.650587,0.280614,662652,1958662,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/floyd-warshall-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/floyd-warshall-8-translated-noasyncepilogue.c ""path"""
trmm,affine-no-polymer-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/trmm-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/trmm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.062893,0.142577,0.003887,20201,50512,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/trmm-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/trmm-8-translated-noasyncepilogue.c ""A,B"""
nussinov,affine-no-polymer-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/nussinov-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/nussinov-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.671622,1.746352,0.052474,122385,662487,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/nussinov-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/nussinov-8-translated-noasyncepilogue.c ""n,seq,table"""
fdtd-2d,affine-no-polymer-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/fdtd-2d-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/fdtd-2d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.447694,1.136685,0.041677,108727,402583,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/fdtd-2d-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/fdtd-2d-8-translated-noasyncepilogue.c ""ex,ey,hz"""
gemver,affine-no-polymer-loop-fusion,generated-polybench-use-scalar-lb-mini-dataset/interp/gemver-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/gemver-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.052174,0.115288,0.006315,15047,45334,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/gemver-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-fusion/translated/gemver-8-translated-noasyncepilogue.c ""A,u1,v1,u2,v2,w,x,y,z"""
2mm,affine-no-polymer-loop-inv-code-motion,generated-polybench-use-scalar-lb-mini-dataset/interp/2mm-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion/translated/2mm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.140256,0.326343,0.010322,43273,116631,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/2mm-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion/translated/2mm-8-translated-noasyncepilogue.c ""A,B,C,D"""
symm,affine-no-polymer-loop-inv-code-motion,generated-polybench-use-scalar-lb-mini-dataset/interp/symm-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion/translated/symm-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.103099,0.236404,0.011602,26508,84441,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/symm-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion/translated/symm-8-translated-noasyncepilogue.c ""A,B,C"""
ludcmp,affine-no-polymer-loop-inv-code-motion,generated-polybench-use-scalar-lb-mini-dataset/interp/ludcmp-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion/translated/ludcmp-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.239293,0.548051,0.014867,76646,194120,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/ludcmp-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion/translated/ludcmp-8-translated-noasyncepilogue.c ""A,B,x,y"""
gramschmidt,affine-no-polymer-loop-inv-code-motion,generated-polybench-use-scalar-lb-mini-dataset/interp/gramschmidt-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion/translated/gramschmidt-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.193676,0.392966,0.012058,59167,141636,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/gramschmidt-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion/translated/gramschmidt-8-translated-noasyncepilogue.c ""A,R,Q"""
mvt,affine-no-polymer-loop-inv-code-motion,generated-polybench-use-scalar-lb-mini-dataset/interp/mvt-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion/translated/mvt-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.029442,0.076327,0.002735,9945,25956,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/mvt-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion/translated/mvt-8-translated-noasyncepilogue.c ""x1,x2,y_1,y_2,A"""
cholesky,affine-no-polymer-loop-inv-code-motion,generated-polybench-use-scalar-lb-mini-dataset/interp/cholesky-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion/translated/cholesky-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.122649,0.255326,0.007453,36172,91122,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/cholesky-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion/translated/cholesky-8-translated-noasyncepilogue.c ""A"""
deriche,affine-no-polymer-loop-inv-code-motion,generated-polybench-use-scalar-lb-mini-dataset/interp/deriche-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion/translated/deriche-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.335026,0.989745,0.050095,133581,420320,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/deriche-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion/translated/deriche-8-translated-noasyncepilogue.c ""alpha,imgIn,imgOut,y1,y2"""
jacobi-2d,affine-no-polymer-loop-inv-code-motion,generated-polybench-use-scalar-lb-mini-dataset/interp/jacobi-2d-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion/translated/jacobi-2d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.538081,1.535421,0.049810,98698,537751,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/jacobi-2d-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion/translated/jacobi-2d-8-translated-noasyncepilogue.c ""A,B"""
trisolv,affine-no-polymer-loop-inv-code-motion,generated-polybench-use-scalar-lb-mini-dataset/interp/trisolv-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion/translated/trisolv-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.008789,0.017697,0.001005,2597,6668,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/trisolv-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion/translated/trisolv-8-translated-noasyncepilogue.c ""L,x,b"""
syrk,affine-no-polymer-loop-inv-code-motion,generated-polybench-use-scalar-lb-mini-dataset/interp/syrk-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion/translated/syrk-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.112760,0.221216,0.008840,31899,71870,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/syrk-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion/translated/syrk-8-translated-noasyncepilogue.c ""A,C"""
durbin,affine-no-polymer-loop-inv-code-motion,generated-polybench-use-scalar-lb-mini-dataset/interp/durbin-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion/translated/durbin-8-translated-noasyncepilogue.c,fail,no,no,yes,no,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/durbin-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion/translated/durbin-8-translated-noasyncepilogue.c ""r,y"""
atax,affine-no-polymer-loop-inv-code-motion,generated-polybench-use-scalar-lb-mini-dataset/interp/atax-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion/translated/atax-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.028806,0.059977,0.002755,9993,24408,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/atax-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion/translated/atax-8-translated-noasyncepilogue.c ""A,x,y,tmp"""
lu,affine-no-polymer-loop-inv-code-motion,generated-polybench-use-scalar-lb-mini-dataset/interp/lu-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion/translated/lu-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.235306,0.492232,0.013517,69052,174102,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/lu-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion/translated/lu-8-translated-noasyncepilogue.c ""A"""
heat-3d,affine-no-polymer-loop-inv-code-motion,generated-polybench-use-scalar-lb-mini-dataset/interp/heat-3d-interp-noasync.c,converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion/translated/heat-3d-8-translated-noasyncepilogue.c,pass,no,no,no,no,no,N/A,N/A,N/A,N/A,0.852677,2.086770,0.118921,73099,605591,1,3,"pastchecker --verbose --timing-mode --enable-preprocessor --enable-subtrees generated-polybench-use-scalar-lb-mini-dataset/interp/heat-3d-interp-noasync.c converted-affine-options-no-polymer/affine-no-polymer-loop-inv-code-motion/translated/heat-3d-8-translated-noasyncepilogue.c ""A,B"""
