name,output_dir,optionset,mlir_opt_version,all_pass,fail_command,flag_did_nothing
mvt,scf-to-affine,scf-to-affine,,yes,N/A,no
trisolv,scal-rep,scal-rep,,yes,N/A,no
deriche,scal-rep,scal-rep,,yes,N/A,no
gemm,scal-rep,scal-rep,,yes,N/A,no
syr2k,scal-rep,scal-rep,,yes,N/A,no
floyd-warshall,scal-rep,scal-rep,,yes,N/A,no
2mm,scal-rep,scal-rep,,yes,N/A,no
cholesky,scal-rep,scal-rep,,yes,N/A,no
heat-3d,scal-rep,scal-rep,,yes,N/A,no
gesummv,scal-rep,scal-rep,,yes,N/A,no
covariance,scal-rep,scal-rep,,yes,N/A,no
adi,scal-rep,scal-rep,,yes,N/A,no
doitgen,scal-rep,scal-rep,,yes,N/A,no
gramschmidt,scal-rep,scal-rep,,yes,N/A,no
bicg,scal-rep,scal-rep,,yes,N/A,no
durbin,scal-rep,scal-rep,,yes,N/A,no
seidel-2d,scal-rep,scal-rep,,yes,N/A,no
gemver,scal-rep,scal-rep,,yes,N/A,no
trmm,scal-rep,scal-rep,,yes,N/A,no
nussinov,scal-rep,scal-rep,,yes,N/A,no
syrk,scal-rep,scal-rep,,yes,N/A,no
3mm,scal-rep,scal-rep,,yes,N/A,no
jacobi-1d,scal-rep,scal-rep,,yes,N/A,no
jacobi-2d,scal-rep,scal-rep,,yes,N/A,no
lu,scal-rep,scal-rep,,yes,N/A,no
ludcmp,scal-rep,scal-rep,,yes,N/A,no
atax,scal-rep,scal-rep,,yes,N/A,no
symm,scal-rep,scal-rep,,yes,N/A,no
correlation,scal-rep,scal-rep,,yes,N/A,no
fdtd-2d,scal-rep,scal-rep,,yes,N/A,no
mvt,scal-rep,scal-rep,,yes,N/A,no
trisolv,unroll,unroll,,yes,N/A,no
deriche,unroll,unroll,,yes,N/A,no
gemm,unroll,unroll,,yes,N/A,no
syr2k,unroll,unroll,,yes,N/A,no
floyd-warshall,unroll,unroll,,yes,N/A,no
2mm,unroll,unroll,,yes,N/A,no
cholesky,unroll,unroll,,yes,N/A,no
heat-3d,unroll,unroll,,yes,N/A,no
gesummv,unroll,unroll,,yes,N/A,no
covariance,unroll,unroll,,yes,N/A,no
adi,unroll,unroll,,yes,N/A,no
doitgen,unroll,unroll,,yes,N/A,no
gramschmidt,unroll,unroll,,yes,N/A,no
bicg,unroll,unroll,,yes,N/A,no
durbin,unroll,unroll,,yes,N/A,no
seidel-2d,unroll,unroll,,yes,N/A,no
gemver,unroll,unroll,,yes,N/A,no
trmm,unroll,unroll,,yes,N/A,no
nussinov,unroll,unroll,,yes,N/A,no
syrk,unroll,unroll,,yes,N/A,no
3mm,unroll,unroll,,yes,N/A,no
jacobi-1d,unroll,unroll,,yes,N/A,no
jacobi-2d,unroll,unroll,,yes,N/A,no
lu,unroll,unroll,,yes,N/A,no
ludcmp,unroll,unroll,,yes,N/A,no
atax,unroll,unroll,,yes,N/A,no
symm,unroll,unroll,,yes,N/A,no
correlation,unroll,unroll,,yes,N/A,no
fdtd-2d,unroll,unroll,,yes,N/A,no
mvt,unroll,unroll,,yes,N/A,no
trisolv,param-no-args,param-no-args,,yes,N/A,no
deriche,param-no-args,param-no-args,,yes,N/A,no
gemm,param-no-args,param-no-args,,yes,N/A,no
syr2k,param-no-args,param-no-args,,yes,N/A,no
floyd-warshall,param-no-args,param-no-args,,yes,N/A,no
2mm,param-no-args,param-no-args,,yes,N/A,no
cholesky,param-no-args,param-no-args,,yes,N/A,no
heat-3d,param-no-args,param-no-args,,yes,N/A,no
gesummv,param-no-args,param-no-args,,yes,N/A,no
covariance,param-no-args,param-no-args,,yes,N/A,no
adi,param-no-args,param-no-args,,no,verif-translate --translate-to-past cgeist/param-no-args/conversion/adi-3-after-conversion.mlir,N/A
doitgen,param-no-args,param-no-args,,yes,N/A,no
gramschmidt,param-no-args,param-no-args,,yes,N/A,no
bicg,param-no-args,param-no-args,,yes,N/A,no
durbin,param-no-args,param-no-args,,yes,N/A,no
seidel-2d,param-no-args,param-no-args,,yes,N/A,no
gemver,param-no-args,param-no-args,,yes,N/A,no
trmm,param-no-args,param-no-args,,yes,N/A,no
nussinov,param-no-args,param-no-args,,yes,N/A,no
syrk,param-no-args,param-no-args,,yes,N/A,no
3mm,param-no-args,param-no-args,,yes,N/A,no
jacobi-1d,param-no-args,param-no-args,,yes,N/A,no
jacobi-2d,param-no-args,param-no-args,,yes,N/A,no
lu,param-no-args,param-no-args,,yes,N/A,no
ludcmp,param-no-args,param-no-args,,yes,N/A,no
atax,param-no-args,param-no-args,,yes,N/A,no
symm,param-no-args,param-no-args,,yes,N/A,no
correlation,param-no-args,param-no-args,,yes,N/A,no
fdtd-2d,param-no-args,param-no-args,,yes,N/A,no
mvt,param-no-args,param-no-args,,yes,N/A,no
trisolv,param-scf-to-affine,param-scf-to-affine,,yes,N/A,no
deriche,param-scf-to-affine,param-scf-to-affine,,yes,N/A,no
gemm,param-scf-to-affine,param-scf-to-affine,,yes,N/A,no
syr2k,param-scf-to-affine,param-scf-to-affine,,yes,N/A,no
floyd-warshall,param-scf-to-affine,param-scf-to-affine,,yes,N/A,no
2mm,param-scf-to-affine,param-scf-to-affine,,yes,N/A,no
cholesky,param-scf-to-affine,param-scf-to-affine,,yes,N/A,no
heat-3d,param-scf-to-affine,param-scf-to-affine,,yes,N/A,no
gesummv,param-scf-to-affine,param-scf-to-affine,,yes,N/A,no
covariance,param-scf-to-affine,param-scf-to-affine,,yes,N/A,no
adi,param-scf-to-affine,param-scf-to-affine,,no,verif-translate --translate-to-past cgeist/param-scf-to-affine/conversion/adi-3-after-conversion.mlir,N/A
doitgen,param-scf-to-affine,param-scf-to-affine,,yes,N/A,no
gramschmidt,param-scf-to-affine,param-scf-to-affine,,yes,N/A,no
bicg,param-scf-to-affine,param-scf-to-affine,,yes,N/A,no
durbin,param-scf-to-affine,param-scf-to-affine,,yes,N/A,no
seidel-2d,param-scf-to-affine,param-scf-to-affine,,yes,N/A,no
gemver,param-scf-to-affine,param-scf-to-affine,,yes,N/A,no
trmm,param-scf-to-affine,param-scf-to-affine,,yes,N/A,no
nussinov,param-scf-to-affine,param-scf-to-affine,,yes,N/A,no
syrk,param-scf-to-affine,param-scf-to-affine,,yes,N/A,no
3mm,param-scf-to-affine,param-scf-to-affine,,yes,N/A,no
jacobi-1d,param-scf-to-affine,param-scf-to-affine,,yes,N/A,no
jacobi-2d,param-scf-to-affine,param-scf-to-affine,,yes,N/A,no
lu,param-scf-to-affine,param-scf-to-affine,,yes,N/A,no
ludcmp,param-scf-to-affine,param-scf-to-affine,,yes,N/A,no
atax,param-scf-to-affine,param-scf-to-affine,,yes,N/A,no
symm,param-scf-to-affine,param-scf-to-affine,,yes,N/A,no
correlation,param-scf-to-affine,param-scf-to-affine,,yes,N/A,no
fdtd-2d,param-scf-to-affine,param-scf-to-affine,,yes,N/A,no
mvt,param-scf-to-affine,param-scf-to-affine,,yes,N/A,no
trisolv,param-scal-rep,param-scal-rep,,yes,N/A,no
deriche,param-scal-rep,param-scal-rep,,yes,N/A,no
gemm,param-scal-rep,param-scal-rep,,yes,N/A,no
syr2k,param-scal-rep,param-scal-rep,,yes,N/A,no
floyd-warshall,param-scal-rep,param-scal-rep,,yes,N/A,no
2mm,param-scal-rep,param-scal-rep,,yes,N/A,no
cholesky,param-scal-rep,param-scal-rep,,yes,N/A,no
heat-3d,param-scal-rep,param-scal-rep,,yes,N/A,no
gesummv,param-scal-rep,param-scal-rep,,yes,N/A,no
covariance,param-scal-rep,param-scal-rep,,yes,N/A,no
adi,param-scal-rep,param-scal-rep,,no,verif-translate --translate-to-past cgeist/param-scal-rep/conversion/adi-3-after-conversion.mlir,N/A
doitgen,param-scal-rep,param-scal-rep,,yes,N/A,no
gramschmidt,param-scal-rep,param-scal-rep,,yes,N/A,no
bicg,param-scal-rep,param-scal-rep,,yes,N/A,no
durbin,param-scal-rep,param-scal-rep,,yes,N/A,no
seidel-2d,param-scal-rep,param-scal-rep,,yes,N/A,no
gemver,param-scal-rep,param-scal-rep,,yes,N/A,no
trmm,param-scal-rep,param-scal-rep,,yes,N/A,no
nussinov,param-scal-rep,param-scal-rep,,yes,N/A,no
syrk,param-scal-rep,param-scal-rep,,yes,N/A,no
3mm,param-scal-rep,param-scal-rep,,yes,N/A,no
jacobi-1d,param-scal-rep,param-scal-rep,,yes,N/A,no
jacobi-2d,param-scal-rep,param-scal-rep,,yes,N/A,no
lu,param-scal-rep,param-scal-rep,,yes,N/A,no
ludcmp,param-scal-rep,param-scal-rep,,yes,N/A,no
atax,param-scal-rep,param-scal-rep,,yes,N/A,no
symm,param-scal-rep,param-scal-rep,,yes,N/A,no
correlation,param-scal-rep,param-scal-rep,,yes,N/A,no
fdtd-2d,param-scal-rep,param-scal-rep,,yes,N/A,no
mvt,param-scal-rep,param-scal-rep,,yes,N/A,no
trisolv,param-unroll,param-unroll,,yes,N/A,no
deriche,param-unroll,param-unroll,,yes,N/A,no
gemm,param-unroll,param-unroll,,yes,N/A,no
syr2k,param-unroll,param-unroll,,yes,N/A,no
floyd-warshall,param-unroll,param-unroll,,yes,N/A,no
2mm,param-unroll,param-unroll,,yes,N/A,no
cholesky,param-unroll,param-unroll,,yes,N/A,no
heat-3d,param-unroll,param-unroll,,yes,N/A,no
gesummv,param-unroll,param-unroll,,yes,N/A,no
covariance,param-unroll,param-unroll,,yes,N/A,no
adi,param-unroll,param-unroll,,no,verif-translate --translate-to-past cgeist/param-unroll/conversion/adi-3-after-conversion.mlir,N/A
doitgen,param-unroll,param-unroll,,yes,N/A,no
gramschmidt,param-unroll,param-unroll,,yes,N/A,no
bicg,param-unroll,param-unroll,,yes,N/A,no
durbin,param-unroll,param-unroll,,yes,N/A,no
seidel-2d,param-unroll,param-unroll,,yes,N/A,no
gemver,param-unroll,param-unroll,,yes,N/A,no
trmm,param-unroll,param-unroll,,yes,N/A,no
nussinov,param-unroll,param-unroll,,yes,N/A,no
syrk,param-unroll,param-unroll,,yes,N/A,no
3mm,param-unroll,param-unroll,,yes,N/A,no
jacobi-1d,param-unroll,param-unroll,,yes,N/A,no
jacobi-2d,param-unroll,param-unroll,,yes,N/A,no
lu,param-unroll,param-unroll,,yes,N/A,no
ludcmp,param-unroll,param-unroll,,yes,N/A,no
atax,param-unroll,param-unroll,,yes,N/A,no
symm,param-unroll,param-unroll,,yes,N/A,no
correlation,param-unroll,param-unroll,,yes,N/A,no
fdtd-2d,param-unroll,param-unroll,,yes,N/A,no
mvt,param-unroll,param-unroll,,yes,N/A,no
